team,mean_elo,year
Clippers,,1976
Clippers,1441.0204707317073,1977
Clippers,1407.9990682926828,1978
Clippers,1444.8997719512195,1979
Clippers,1468.3203792682928,1980
Clippers,1437.8874512195125,1981
Clippers,1375.8980597560976,1982
Clippers,1352.2386280487808,1983
Clippers,1400.2149890243904,1984
Clippers,1412.216557317073,1985
Clippers,1379.7971817073173,1986
Clippers,1309.4766743902437,1987
Clippers,1269.8863121951222,1988
Clippers,1273.777630487805,1989
Clippers,1380.35675,1990
Clippers,1384.3496975609755,1991
Clippers,1479.4787287356319,1992
Clippers,1522.7129712643678,1993
Clippers,1413.4459841463415,1994
Clippers,1309.0537012195123,1995
Clippers,1381.7397951219511,1996
Clippers,1422.9537835294118,1997
Clippers,1328.3683341463413,1998
Clippers,1277.2081580000001,1999
Clippers,1276.9904292682927,2000
Clippers,1358.1049804878048,2001
Clippers,1498.56986097561,2002
Clippers,1425.522213414634,2003
Clippers,1428.5291170731707,2004
Clippers,1460.3311097560972,2005
Clippers,1536.2212670212766,2006
Clippers,1513.3890780487804,2007
Clippers,1417.5492975609754,2008
Clippers,1327.4370670731705,2009
Clippers,1365.9147414634147,2010
Clippers,1387.0146829268294,2011
Clippers,1540.512120779221,2012
Clippers,1629.794928409091,2013
Clippers,1650.5047968421052,2014
Clippers,1658.2184406249999,2015
Kings,,1976
Kings,1504.5463487804877,1977
Kings,1462.3202219512193,1978
Kings,1538.0911494252875,1979
Kings,1569.431914117647,1980
Kings,1501.093218556701,1981
Kings,1418.6889682926828,1982
Kings,1479.9090707317073,1983
Kings,1481.981788235294,1984
Kings,1423.198074390244,1985
Kings,1442.6797752941177,1986
Kings,1415.1382268292682,1987
Kings,1378.100080487805,1988
Kings,1358.4344853658538,1989
Kings,1359.3005707317072,1990
Kings,1323.8245219512196,1991
Kings,1354.0696585365854,1992
Kings,1394.8900841463415,1993
Kings,1365.2026500000002,1994
Kings,1469.3960670731706,1995
Kings,1454.6175476744183,1996
Kings,1413.9996890243901,1997
Kings,1416.677637804878,1998
Kings,1422.5335145454544,1999
Kings,1536.3408137931035,2000
Kings,1622.130036666667,2001
Kings,1665.2071265306122,2002
Kings,1667.3842648936172,2003
Kings,1649.2497882978726,2004
Kings,1586.1372379310344,2005
Kings,1519.0844125,2006
Kings,1491.7851731707317,2007
Kings,1452.7099207317074,2008
Kings,1350.9132536585366,2009
Kings,1348.9213902439026,2010
Kings,1347.9094390243902,2011
Kings,1400.8652712121213,2012
Kings,1392.4726280487805,2013
Kings,1415.2395585365853,2014
Kings,1425.4173695121951,2015
Nets,,1976
Nets,1422.930693902439,1977
Nets,1327.6402134146342,1978
Nets,1436.3122166666665,1979
Nets,1441.9012585365854,1980
Nets,1379.1170829268294,1981
Nets,1462.2378321428573,1982
Nets,1570.3029047619045,1983
Nets,1546.239167741935,1984
Nets,1521.7237835294118,1985
Nets,1500.6704235294117,1986
Nets,1407.766780487805,1987
Nets,1344.0496012195124,1988
Nets,1369.675763414634,1989
Nets,1299.9804841463415,1990
Nets,1325.8467073170732,1991
Nets,1418.2941441860462,1992
Nets,1514.3965839080458,1993
Nets,1523.1433755813953,1994
Nets,1455.1705036585365,1995
Nets,1395.812131707317,1996
Nets,1358.424962195122,1997
Nets,1503.4238952941175,1998
Nets,1434.21348,1999
Nets,1452.8080329268291,2000
Nets,1391.4590658536588,2001
Nets,1532.5674284313725,2002
Nets,1596.1890058823528,2003
Nets,1576.9871978494623,2004
Nets,1455.1752779069768,2005
Nets,1538.4093935483868,2006
Nets,1490.266124468085,2007
Nets,1433.7874987804878,2008
Nets,1441.972681707317,2009
Nets,1304.6722158536586,2010
Nets,1346.3202134146343,2011
Nets,1343.0871424242423,2012
Nets,1504.1942393258423,2013
Nets,1502.8667340425534,2014
Nets,1468.861828409091,2015
Thunder,,1976
Thunder,1493.2818829268294,1977
Thunder,1525.9190134615383,1978
Thunder,1585.6314303030306,1979
Thunder,1632.3038587628866,1980
Thunder,1488.2522170731706,1981
Thunder,1557.620312222222,1982
Thunder,1558.4558178571428,1983
Thunder,1507.3205597701153,1984
Thunder,1443.2775146341464,1985
Thunder,1424.7057792682926,1986
Thunder,1497.674671875,1987
Thunder,1523.0683574712646,1988
Thunder,1536.9715144444444,1989
Thunder,1502.0651463414636,1990
Thunder,1488.2771505747126,1991
Thunder,1534.704274725275,1992
Thunder,1619.866010891089,1993
Thunder,1664.9032666666665,1994
Thunder,1671.889019767442,1995
Thunder,1674.2875990291263,1996
Thunder,1658.0295148936166,1997
Thunder,1650.7886684782611,1998
Thunder,1530.414272,1999
Thunder,1512.944171264368,2000
Thunder,1515.759324390244,2001
Thunder,1567.6154494252874,2002
Thunder,1510.8633341463412,2003
Thunder,1492.8221646341462,2004
Thunder,1580.0326860215057,2005
Thunder,1458.0431914634146,2006
Thunder,1456.089042682927,2007
Thunder,1349.8675719512196,2008
Thunder,1317.0346097560973,2009
Thunder,1534.313946590909,2010
Thunder,1602.1865535353534,2011
Thunder,1676.024510465116,2012
Thunder,1694.7932462365593,2013
Thunder,1676.5966722772275,2014
Thunder,1580.8519402439024,2015
Pistons,,1976
Pistons,1503.04984,1977
Pistons,1466.0600914634147,1978
Pistons,1439.198707317073,1979
Pistons,1362.2502365853659,1980
Pistons,1296.2981670731706,1981
Pistons,1466.6240658536585,1982
Pistons,1492.117562195122,1983
Pistons,1543.8528574712648,1984
Pistons,1573.0211769230768,1985
Pistons,1532.9493488372093,1986
Pistons,1590.1796907216494,1987
Pistons,1642.6889885714284,1988
Pistons,1671.6336888888889,1989
Pistons,1682.6279088235292,1990
Pistons,1606.093616494845,1991
Pistons,1542.5092425287357,1992
Pistons,1487.7204926829268,1993
Pistons,1380.0208780487806,1994
Pistons,1336.5611999999999,1995
Pistons,1475.8583176470588,1996
Pistons,1604.308495402299,1997
Pistons,1525.5753475609756,1998
Pistons,1566.9640981818181,1999
Pistons,1543.6416023529412,2000
Pistons,1447.7255902439022,2001
Pistons,1520.536408695652,2002
Pistons,1586.1087484848485,2003
Pistons,1614.0634095238095,2004
Pistons,1613.0917887850467,2005
Pistons,1690.9869249999997,2006
Pistons,1614.7696959183675,2007
Pistons,1651.2522727272728,2008
Pistons,1532.7718034883721,2009
Pistons,1396.7273890243903,2010
Pistons,1391.0489292682926,2011
Pistons,1380.9449727272727,2012
Pistons,1410.706443902439,2013
Pistons,1401.4150097560976,2014
Pistons,1407.8583597560976,2015
Pelicans,,1976
Pelicans,,1977
Pelicans,,1978
Pelicans,,1979
Pelicans,,1980
Pelicans,,1981
Pelicans,,1982
Pelicans,,1983
Pelicans,,1984
Pelicans,,1985
Pelicans,,1986
Pelicans,,1987
Pelicans,,1988
Pelicans,1275.917012195122,1989
Pelicans,1269.9957548780485,1990
Pelicans,1345.2692000000002,1991
Pelicans,1394.257112195122,1992
Pelicans,1470.992412087912,1993
Pelicans,1491.782754878049,1994
Pelicans,1551.342111627907,1995
Pelicans,1497.589174390244,1996
Pelicans,1545.7577447058825,1997
Pelicans,1567.960146153846,1998
Pelicans,1511.1367980000002,1999
Pelicans,1561.0014500000002,2000
Pelicans,1567.9856641304352,2001
Pelicans,1529.51350989011,2002
Pelicans,1542.7082000000003,2003
Pelicans,1514.046106741573,2004
Pelicans,1372.631874390244,2005
Pelicans,1443.9674378048783,2006
Pelicans,1451.9541341463414,2007
Pelicans,1596.442441489361,2008
Pelicans,1590.729436781609,2009
Pelicans,1470.5429780487805,2010
Pelicans,1528.9786636363635,2011
Pelicans,1419.2049166666666,2012
Pelicans,1424.5746365853659,2013
Pelicans,1444.298725609756,2014
Pelicans,1500.7466279069768,2015
Celtics,,1976
Celtics,1507.1401846153842,1977
Celtics,1455.1330670731709,1978
Celtics,1416.9338707317072,1979
Celtics,1603.6862659340654,1980
Celtics,1674.9213131313131,1981
Celtics,1676.5398968085108,1982
Celtics,1654.1035786516852,1983
Celtics,1647.1475390476191,1984
Celtics,1686.3284504854369,1985
Celtics,1723.4892479999994,1986
Celtics,1701.847296190476,1987
Celtics,1637.9715595959597,1988
Celtics,1536.398605882353,1989
Celtics,1547.215017241379,1990
Celtics,1610.7729311827954,1991
Celtics,1558.6011499999997,1992
Celtics,1542.1312744186046,1993
Celtics,1444.5151780487806,1994
Celtics,1432.7487906976744,1995
Celtics,1416.7910914634147,1996
Celtics,1339.36103902439,1997
Celtics,1399.5524365853657,1998
Celtics,1434.9575699999998,1999
Celtics,1459.9537024390245,2000
Celtics,1448.9778719512196,2001
Celtics,1530.3350897959183,2002
Celtics,1521.8609673913045,2003
Celtics,1457.1560290697673,2004
Celtics,1498.2333932584272,2005
Celtics,1471.0040682926829,2006
Celtics,1389.8860085365855,2007
Celtics,1646.7464972222222,2008
Celtics,1702.1227083333333,2009
Celtics,1620.729128301887,2010
Celtics,1660.3392175824179,2011
Celtics,1575.9561732558136,2012
Celtics,1527.4821770114943,2013
Celtics,1419.620207317073,2014
Celtics,1425.5194279069767,2015
Warriors,,1976
Warriors,1556.3186782608695,1977
Warriors,1521.7515353658537,1978
Warriors,1516.5801365853658,1979
Warriors,1428.8194573170733,1980
Warriors,1472.9594195121952,1981
Warriors,1510.1634524390242,1982
Warriors,1443.9453304878048,1983
Warriors,1431.9211670731709,1984
Warriors,1358.2443292682926,1985
Warriors,1389.3861207317073,1986
Warriors,1466.5008913043478,1987
Warriors,1372.5937036585365,1988
Warriors,1455.6442466666667,1989
Warriors,1446.5294231707317,1990
Warriors,1498.122036263736,1991
Warriors,1581.071176744186,1992
Warriors,1500.4033865853658,1993
Warriors,1507.4661917647059,1994
Warriors,1435.9790329268294,1995
Warriors,1435.021007317073,1996
Warriors,1408.4688280487806,1997
Warriors,1299.0450036585364,1998
Warriors,1389.8050340000002,1999
Warriors,1354.1596036585368,2000
Warriors,1326.9366951219513,2001
Warriors,1331.5438036585365,2002
Warriors,1439.0334817073172,2003
Warriors,1474.607625609756,2004
Warriors,1428.4577853658539,2005
Warriors,1478.9400036585364,2006
Warriors,1491.5481440860215,2007
Warriors,1585.928845121951,2008
Warriors,1453.1146048780488,2009
Warriors,1390.661835365854,2010
Warriors,1431.6698609756097,2011
Warriors,1453.5225772727272,2012
Warriors,1520.0389882978727,2013
Warriors,1603.997368539326,2014
Warriors,1725.5747640776701,2015
Trailblazers,,1976
Trailblazers,1566.9299336633667,1977
Trailblazers,1671.7457874999998,1978
Trailblazers,1524.1102835294118,1979
Trailblazers,1530.4879094117648,1980
Trailblazers,1495.4662388235295,1981
Trailblazers,1516.5549158536585,1982
Trailblazers,1529.5807764044941,1983
Trailblazers,1563.2416873563213,1984
Trailblazers,1533.9490516483515,1985
Trailblazers,1528.4923034883723,1986
Trailblazers,1546.2567593023255,1987
Trailblazers,1568.2623279069765,1988
Trailblazers,1524.3009011764705,1989
Trailblazers,1595.714877669903,1990
Trailblazers,1671.1295122448978,1991
Trailblazers,1655.3215864077667,1992
Trailblazers,1597.889115116279,1993
Trailblazers,1563.4487058139534,1994
Trailblazers,1565.885349411765,1995
