team,mean_elo,year,Conference
Clippers,,1976,West
Clippers,1441.020471,1977,West
Clippers,1407.999068,1978,West
Clippers,1444.899772,1979,West
Clippers,1468.320379,1980,West
Clippers,1437.887451,1981,West
Clippers,1375.89806,1982,West
Clippers,1352.238628,1983,West
Clippers,1400.214989,1984,West
Clippers,1412.216557,1985,West
Clippers,1379.797182,1986,West
Clippers,1309.476674,1987,West
Clippers,1269.886312,1988,West
Clippers,1273.77763,1989,West
Clippers,1380.35675,1990,West
Clippers,1384.349698,1991,West
Clippers,1479.478729,1992,West
Clippers,1522.712971,1993,West
Clippers,1413.445984,1994,West
Clippers,1309.053701,1995,West
Clippers,1381.739795,1996,West
Clippers,1422.953784,1997,West
Clippers,1328.368334,1998,West
Clippers,1277.208158,1999,West
Clippers,1276.990429,2000,West
Clippers,1358.10498,2001,West
Clippers,1498.569861,2002,West
Clippers,1425.522213,2003,West
Clippers,1428.529117,2004,West
Clippers,1460.33111,2005,West
Clippers,1536.221267,2006,West
Clippers,1513.389078,2007,West
Clippers,1417.549298,2008,West
Clippers,1327.437067,2009,West
Clippers,1365.914741,2010,West
Clippers,1387.014683,2011,West
Clippers,1540.512121,2012,West
Clippers,1629.794928,2013,West
Clippers,1650.504797,2014,West
Clippers,1658.218441,2015,West
Kings,,1976,West
Kings,1504.546349,1977,West
Kings,1462.320222,1978,West
Kings,1538.091149,1979,West
Kings,1569.431914,1980,West
Kings,1501.093219,1981,West
Kings,1418.688968,1982,West
Kings,1479.909071,1983,West
Kings,1481.981788,1984,West
Kings,1423.198074,1985,West
Kings,1442.679775,1986,West
Kings,1415.138227,1987,West
Kings,1378.10008,1988,West
Kings,1358.434485,1989,West
Kings,1359.300571,1990,West
Kings,1323.824522,1991,West
Kings,1354.069659,1992,West
Kings,1394.890084,1993,West
Kings,1365.20265,1994,West
Kings,1469.396067,1995,West
Kings,1454.617548,1996,West
Kings,1413.999689,1997,West
Kings,1416.677638,1998,West
Kings,1422.533515,1999,West
Kings,1536.340814,2000,West
Kings,1622.130037,2001,West
Kings,1665.207127,2002,West
Kings,1667.384265,2003,West
Kings,1649.249788,2004,West
Kings,1586.137238,2005,West
Kings,1519.084413,2006,West
Kings,1491.785173,2007,West
Kings,1452.709921,2008,West
Kings,1350.913254,2009,West
Kings,1348.92139,2010,West
Kings,1347.909439,2011,West
Kings,1400.865271,2012,West
Kings,1392.472628,2013,West
Kings,1415.239559,2014,West
Kings,1425.41737,2015,West
Nets,,1976,East
Nets,1422.930694,1977,East
Nets,1327.640213,1978,East
Nets,1436.312217,1979,East
Nets,1441.901259,1980,East
Nets,1379.117083,1981,East
Nets,1462.237832,1982,East
Nets,1570.302905,1983,East
Nets,1546.239168,1984,East
Nets,1521.723784,1985,East
Nets,1500.670424,1986,East
Nets,1407.76678,1987,East
Nets,1344.049601,1988,East
Nets,1369.675763,1989,East
Nets,1299.980484,1990,East
Nets,1325.846707,1991,East
Nets,1418.294144,1992,East
Nets,1514.396584,1993,East
