fran_id,_iscopy,date_game,year_id,elo_n,pts,opp_pts,opp_fran,game_result
Hawks,0,10/21/1976,1977,1360.1699,104,120,Rockets,L
Pacers,0,10/21/1976,1977,1495.7582,122,129,Celtics,L
Bucks,0,10/21/1976,1977,1438.6534,112,133,Clippers,L
Knicks,0,10/21/1976,1977,1484.3785,102,97,Lakers,W
Cavaliers,0,10/22/1976,1977,1533.1807,106,95,Bulls,W
Warriors,0,10/22/1976,1977,1566.3047,103,104,Nets,L
Pacers,0,10/22/1976,1977,1483.2635,110,123,Nuggets,L
Kings,0,10/22/1976,1977,1443.0306,96,99,Pistons,L
Jazz,0,10/22/1976,1977,1488.4333,111,98,Suns,W
Sixers,0,10/22/1976,1977,1488.2871,118,121,Spurs,L
Wizards,0,10/22/1976,1977,1519.2081,84,103,Lakers,L
Clippers,0,10/23/1976,1977,1511.9343,108,105,Sixers,W
Bulls,0,10/23/1976,1977,1423.646,102,97,Pacers,W
Nuggets,0,10/23/1976,1977,1608.0447,120,99,Kings,W
Pistons,0,10/23/1976,1977,1476.184,97,98,Wizards,L
Rockets,0,10/23/1976,1977,1512.8708,129,126,Suns,W
Bucks,0,10/23/1976,1977,1432.9998,107,111,Celtics,L
Knicks,0,10/23/1976,1977,1501.0114,117,98,Spurs,W
Trailblazers,0,10/23/1976,1977,1476.6681,114,104,Nets,W
Hawks,0,10/24/1976,1977,1376.9735,115,91,Bucks,W
Cavaliers,0,10/24/1976,1977,1537.1238,100,95,Lakers,W
Thunder,0,10/24/1976,1977,1510.9988,104,93,Nets,W
Hawks,0,10/26/1976,1977,1389.7856,122,114,Spurs,W
Bulls,0,10/26/1976,1977,1426.7616,90,88,Bucks,W
Pacers,0,10/26/1976,1977,1493.9497,120,90,Thunder,W
Kings,0,10/26/1976,1977,1441.9292,117,115,Lakers,W
Jazz,0,10/26/1976,1977,1473.8428,101,111,Sixers,L
Knicks,0,10/26/1976,1977,1510.005,118,104,Clippers,W
Trailblazers,0,10/26/1976,1977,1489.0437,110,96,Warriors,W
Pistons,0,10/27/1976,1977,1485.455,106,92,Thunder,W
Rockets,0,10/27/1976,1977,1487.5427,94,116,Sixers,L
Nets,0,10/27/1976,1977,1573.4512,96,93,Wizards,W
Spurs,0,10/27/1976,1977,1573.8438,115,106,Suns,W
Celtics,0,10/28/1976,1977,1577.9017,112,105,Clippers,W
Cavaliers,0,10/28/1976,1977,1548.1044,114,90,Knicks,W
Nuggets,0,10/28/1976,1977,1612.0027,119,100,Bucks,W
Warriors,0,10/28/1976,1977,1562.0057,112,92,Trailblazers,W
Bulls,0,10/29/1976,1977,1413.3978,82,95,Suns,L
